r_mu_pct,opc_2030
6.607453,29.033150
6.615414,28.947422
6.626511,28.828809
6.634703,28.741773
6.641462,28.670190
6.649399,28.586592
6.660386,28.471328
6.666438,28.408283
6.676854,28.300136
6.683755,28.229121
6.688732,28.177625
6.698606,28.076421
6.706369,27.997405
6.716604,27.893603
6.723127,27.827681
6.732399,27.734554
6.737407,27.684466
6.745802,27.600773
6.751970,27.539533
6.761802,27.442435
6.769406,27.367687
6.780681,27.257484
6.789880,27.168060
6.793225,27.135652
6.801627,27.054548
6.813828,26.937431
6.819571,26.882675
6.830573,26.778094
6.830857,26.775394
6.839683,26.692052
6.850881,26.586784
6.854811,26.550096
6.864923,26.455825
6.873170,26.379463
6.879339,26.322489
6.891308,26.212560
6.899290,26.139593
6.910661,26.036334
6.914646,26.000287
6.919909,25.952852
6.934544,25.821541
6.940852,25.765268
6.944017,25.737118
6.952329,25.663421
6.959669,25.598679
6.968385,25.522025
6.976722,25.449064
6.987658,25.353900
6.991026,25.324671
7.003686,25.215450
7.010608,25.155966
7.020845,25.068610
7.029805,24.992429
7.044405,24.869126
7.048717,24.832891
7.057998,24.755172
7.063879,24.706169
7.078574,24.584381
7.080749,24.566482
7.094303,24.455074
7.098697,24.419175
7.106218,24.357869
7.116297,24.276127
7.121157,24.236815
7.130354,24.162770
7.140731,24.079751
7.143394,24.058537
7.154105,23.973354
7.166870,23.872491
7.168669,23.858254
7.179558,23.773001
7.188943,23.699760
7.193342,23.665546
7.200513,23.610029
7.209794,23.538393
7.218966,23.467998
7.223783,24.656866
7.230885,23.376913
7.238976,23.315510
7.246346,23.259730
7.248282,23.245172
7.259417,23.161444
7.264255,23.125191
7.276194,23.036194
7.285238,22.969112
7.293470,22.908335
7.298308,22.872802
7.311032,22.779626
7.318886,22.722397
7.326967,22.663744
7.333688,22.615216
7.341656,22.557843
7.350068,22.497521
7.357216,22.446519
7.361792,22.413952
7.375640,22.315814
7.378124,22.298261
7.388308,22.226688
7.397955,22.159126
7.407852,22.090284
7.415844,22.034916
7.420404,22.003397
7.425823,21.966079
7.436335,21.893913
7.446371,21.825437
7.455228,21.765250
7.460448,21.729911
7.471642,21.654406
7.480026,21.598200
7.484221,21.570090
7.496416,21.488921
7.497343,21.482753
7.507196,21.417491
7.514221,21.371154
7.525382,21.297979
7.535067,21.234741
7.542458,21.186655
7.552806,21.119681
7.554258,21.110351
7.567623,21.024388
7.574329,20.981560
7.582236,20.931088
7.586213,20.905836
7.599935,20.819013
7.604142,20.792495
7.614787,20.725652
7.621091,20.686244
7.632489,20.615303
7.641275,20.560895
7.645436,20.535186
7.656993,20.464125
7.658835,20.452826
7.666953,20.403105
